symbol,price
STRATUSDT,0.4904
AIONBUSD,0.0721
AIONUSDT,0.00943
MBLBNB,1.202e-05
MBLBTC,5e-08
MBLUSDT,0.002349
COTIBNB,0.0001909
COTIBTC,1.75e-06
COTIUSDT,0.0452
ALGOBUSD,0.1102
BTTBUSD,0.002778
TOMOBUSD,1.3384
XMRBUSD,136.5
ZECBUSD,24.5
BNBBULLUSDT,57.21
BNBBULLBUSD,58.37
BNBBEARUSDT,58.61
BNBBEARBUSD,57.21
STPTBNB,0.00067
STPTBTC,1.37e-06
STPTUSDT,0.03546
BTCZAR,498819.0
ETHZAR,33801.0
BNBZAR,5000.0
USDTZAR,19.29
BUSDZAR,19.26
BTCBKRW,42029197.0
ETHBKRW,1277799.0
BNBBKRW,44687.0
WTCUSDT,0.1418
DATABUSD,0.02234
DATAUSDT,0.02221
XZCUSDT,4.446
SOLBNB,0.0654
SOLBTC,0.0005965
SOLUSDT,15.45
SOLBUSD,15.46
BTCIDRT,693891182.0
BNBIDRT,4286985.0
USDTIDRT,14880.0
BUSDIDRT,14389.0
CTSIBTC,4.86e-06
CTSIUSDT,0.1255
CTSIBNB,0.00053
CTSIBUSD,0.1256
HIVEBNB,0.00429
HIVEBTC,1.135e-05
HIVEUSDT,0.2938
CHRBNB,0.0005084
CHRBTC,4.63e-06
CHRUSDT,0.1201
BTCUPUSDT,4.922
BTCDOWNUSDT,0.009412
GXSUSDT,1.7923
ARDRUSDT,0.0608
ERDBUSD,0.019661
LENDUSDT,0.51431
HBARBUSD,0.044
MATICBUSD,0.6316
WRXBUSD,0.0842
ZILBUSD,0.01748
MDTBNB,0.0007372
MDTBTC,1.43e-06
MDTUSDT,0.03705
STMXBTC,1.6e-07
STMXETH,2.92e-06
STMXUSDT,0.003526
KNCBUSD,0.484
KNCUSDT,0.486
REPBUSD,13.673
REPUSDT,4.73
LRCBUSD,0.2114
LRCUSDT,0.2106
IQBNB,2.243e-05
IQBUSD,0.0046
PNTBTC,8.64e-06
PNTUSDT,0.0961
BTCGBP,20745.55
ETHGBP,1404.6
XRPGBP,0.4108
BNBGBP,189.5
GBPBUSD,1.249
DGBBTC,2.6e-07
DGBBUSD,0.00655
BTCUAH,987096.0
USDTUAH,38.05
COMPBTC,0.001014
COMPBNB,5.719
COMPBUSD,26.3
COMPUSDT,26.25
BTCBIDR,386136060.0
ETHBIDR,26189758.0
BNBBIDR,3527817.0
BUSDBIDR,14901.0
USDTBIDR,14912.0
BKRWUSDT,0.0008453
BKRWBUSD,0.0008455
SCUSDT,0.00268
ZENUSDT,6.01
SXPBTC,1.225e-05
SXPBNB,0.001343
SXPBUSD,0.3176
SNXBTC,6.86e-05
SNXBNB,0.00756
SNXBUSD,1.778
SNXUSDT,1.775
ETHUPUSDT,4.701
ETHDOWNUSDT,0.2635
ADAUPUSDT,0.103
ADADOWNUSDT,0.002559
LINKUPUSDT,0.00608
LINKDOWNUSDT,0.000895
VTHOBNB,6.73e-06
VTHOBUSD,0.000718
VTHOUSDT,0.000929
DCRBUSD,16.035
DGBUSDT,0.00655
GBPUSDT,1.247
STORJBUSD,0.2361
SXPUSDT,0.3171
IRISBNB,0.001662
IRISBTC,7.9e-07
IRISBUSD,0.0608
MKRBNB,6.903
MKRBTC,0.02378
MKRUSDT,618.0
MKRBUSD,619.0
DAIBNB,0.04876
DAIBTC,8.966e-05
DAIUSDT,1.0189
DAIBUSD,1.0181
RUNEBNB,0.00394
RUNEBTC,3.6e-05
RUNEBUSD,0.932
MANABUSD,0.3411
DOGEBUSD,0.06189
LENDBUSD,0.5153
ZRXBUSD,0.1752
DCRUSDT,12.5
STORJUSDT,0.2357
XRPBKRW,319.76
ADABKRW,327.55
BTCAUD,37210.08
ETHAUD,2565.09
AUDBUSD,0.7255
FIOBNB,0.0001708
FIOBTC,7.5e-07
FIOBUSD,0.01942
BNBUPUSDT,26.6
BNBDOWNUSDT,0.01694
XTZUPUSDT,0.002551
XTZDOWNUSDT,2.6001
AVABNB,0.002188
AVABTC,1.567e-05
AVABUSD,0.406
USDTBKRW,1125.0
BUSDBKRW,1097.18
IOTABUSD,0.1563
MANAUSDT,0.3409
XRPAUD,0.7
BNBAUD,421.1
AUDUSDT,0.7252
BALBNB,0.4258
BALBTC,0.0001725
BALBUSD,4.478
YFIBNB,82.19
YFIBTC,0.2105
YFIBUSD,5452.0
YFIUSDT,5450.0
BLZBUSD,0.0483
KMDBUSD,0.4676
BALUSDT,4.475
BLZUSDT,0.0482
IRISUSDT,0.0206
KMDUSDT,0.2648
BTCDAI,25904.86
ETHDAI,1754.11
BNBDAI,236.4
USDTDAI,1.0007
BUSDDAI,1.0001
JSTBNB,0.0002185
JSTBTC,8e-07
JSTBUSD,0.02063
JSTUSDT,0.02056
SRMBNB,0.00084
SRMBTC,1.523e-05
SRMBUSD,0.05385
SRMUSDT,0.24442
ANTBNB,0.0133
ANTBTC,0.00012186
ANTBUSD,3.151
ANTUSDT,3.141
CRVBNB,0.00687
CRVBTC,2.595e-05
CRVBUSD,0.673
CRVUSDT,0.672
SANDBNB,0.001629
SANDBTC,1.486e-05
SANDUSDT,0.3846
SANDBUSD,0.3849
OCEANBNB,0.001235
OCEANBTC,1.126e-05
OCEANBUSD,0.2915
OCEANUSDT,0.2917
NMRBTC,0.000468
NMRBUSD,12.16
NMRUSDT,12.16
DOTBNB,0.01899
DOTBTC,0.0001732
DOTBUSD,4.493
DOTUSDT,4.489
LUNABNB,1.9e-07
LUNABTC,1e-08
LUNABUSD,0.6033
LUNAUSDT,0.6027
IDEXBTC,2.1e-06
IDEXBUSD,0.05439
RSRBNB,8.09e-06
RSRBTC,1.6e-07
RSRBUSD,0.00192
RSRUSDT,0.001914
PAXGBNB,8.099
PAXGBTC,0.07392
PAXGBUSD,1917.0
PAXGUSDT,1915.0
WNXMBNB,0.1735
WNXMBTC,0.000672
WNXMBUSD,22.165
WNXMUSDT,27.23
TRBBNB,0.517
TRBBTC,0.000333
TRBBUSD,8.61
TRBUSDT,8.63
ETHNGN,805670.0
DOTBIDR,72297.0
LINKAUD,7.986
SXPAUD,1.868
BZRXBNB,0.00514
BZRXBTC,4.63e-06
BZRXBUSD,0.2164
BZRXUSDT,0.2156
WBTCBTC,1.0005
WBTCETH,14.78
SUSHIBNB,0.002421
SUSHIBTC,2.208e-05
SUSHIBUSD,0.574
SUSHIUSDT,0.572
YFIIBNB,4.42
YFIIBTC,0.07249
YFIIBUSD,1192.0
YFIIUSDT,637.2
KSMBNB,0.0908
KSMBTC,0.000844
KSMBUSD,21.86
KSMUSDT,21.84
EGLDBNB,0.1274
EGLDBTC,0.001164
EGLDBUSD,30.14
EGLDUSDT,30.12
DIABNB,0.003813
DIABTC,8.73e-06
DIABUSD,0.2247
DIAUSDT,0.2262
RUNEUSDT,0.93
